Programme,p2_mu,p2_sigma,p3_mu,p3_sigma,N_3_max,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
C,20,35,20,49.49747468305833,366,868072.9428091922,366,0.6018382821038583,136.0,239400.0,272600,534000.0
F,22,48,22,67.88225099390856,430,1009196.7296811799,430,0.5751981418599078,158.0,255350.0,351280,630630.0
K,26,42,26,59.39696961966999,297,1363748.4773949808,297,0.6085738236011216,110.0,215750.0,254208,494958.0
N,31,53,31,74.95331880577403,328,1692629.7157019232,328,0.6023326179490863,122.0,255780.0,294536,579316.0
P,34,60,34,84.8528137423857,358,1844900.1392410062,358,0.5999159818349203,132.0,292520.0,340944,665464.0
Y,23,42,23,59.39696961966999,464,267487.19300548255,464,0.60165368719977,172.0,146560.0,226380,389440.0
AC,23,41,23,57.982756057296896,441,285314.6560409438,441,0.6040014618142282,164.0,142220.0,214956,374176.0
AH,26,45,26,63.63961030678928,377,338631.5262597962,377,0.604391111422503,140.0,139400.0,199880,357280.0
