,Sample size,Power
0,1,0.04112816323895914
1,2,0.04991335616210393
2,3,0.05762085880433598
3,4,0.06482044287136121
4,5,0.0717254823442816
5,6,0.07844150226541247
6,7,0.08502872283402324
7,8,0.09152466586301239
8,9,0.09795412397700176
9,10,0.10433416509044557
10,11,0.1106768871622083
11,12,0.1169910433650701
12,13,0.1232830541980125
13,14,0.12955766585302297
14,15,0.13581839408376695
15,16,0.1420678325616614
16,17,0.14830787261012424
17,18,0.15453986324693442
18,19,0.16076472998226565
19,20,0.1669830644772174
20,21,0.17319519320731558
21,22,0.17940123073347608
22,23,0.18560112151102404
23,24,0.19179467304349307
24,25,0.19798158241753727
25,26,0.20416145771780586
26,27,0.21033383543956613
27,28,0.21649819474273913
28,29,0.22265396919115027
29,30,0.22880055647329423
30,31,0.23493732649078908
31,32,0.24106362811763699
32,33,0.24717879487013117
33,34,0.2532821496786171
34,35,0.25937300891461224
35,36,0.26545068579733944
36,37,0.2715144932805417
37,38,0.27756374650207294
38,39,0.28359776486410027
39,40,0.2896158737999881
40,41,0.2956174062744328
41,42,0.30160170405570885
42,43,0.3075681187925867
43,44,0.31351601292333175
44,45,0.3194447604399323
45,46,0.3253537475271904
46,47,0.331242373093385
47,48,0.33711004920677146
48,49,0.3429562014501415
49,50,0.3487802692039462
50,51,0.3545817058670351
51,52,0.36035997902283257
52,53,0.366114570557737
53,54,0.37184497673762806
54,55,0.37755070824762066
55,56,0.38323129019954183
56,57,0.38888626211105315
57,58,0.3945151778598578
58,59,0.4001176056160158
59,60,0.40569312775502536
60,61,0.41124134075402274
61,62,0.41676185507317276
62,63,0.4222542950240899
63,64,0.4277182986269188
64,65,0.4331535174575224
65,66,0.4385596164860658
66,67,0.4439362739081431
67,68,0.4492831809694727
68,69,0.4546000417850728
69,70,0.45988657315373815
70,71,0.46514250436854787
71,72,0.4703675770240621
72,73,0.4755615448207976
73,74,0.4807241733675067
74,75,0.48585523998173963
75,76,0.490954533489116
76,77,0.4960218540216878
77,78,0.5010570128157426
78,79,0.5060598320093579
79,80,0.5110301444399876
80,81,0.5159677934423317
81,82,0.5208726326467213
82,83,0.5257445257782208
83,84,0.5305833464566327
84,85,0.5353889779975745
85,86,0.540161313214773
86,87,0.5449002542237158
87,88,0.5496057122467776
88,89,0.5542776074199315
89,90,0.558915868601143
90,91,0.5635204331805304
91,92,0.5680912468923767
92,93,0.5726282636290538
93,94,0.5771314452569262
94,95,0.5816007614342841
95,96,0.5860361894313602
96,97,0.5904377139524623
97,98,0.5948053269602683
98,99,0.5991390275023066
99,100,0.6034388215396539
100,101,0.6077047217778712
101,102,0.6119367475001959
102,103,0.616134924403007
103,104,0.6202992844335716
104,105,0.624429865630089
105,106,0.6285267119640291
106,107,0.6325898731847756
107,108,0.6366194046665732
108,109,0.6406153672577782
109,110,0.6445778271324074
110,111,0.6485068556439851
111,112,0.6524025291816783
112,113,0.6562649290287133
113,114,0.6600941412230642
114,115,0.6638902564204061
115,116,0.6676533697593132
116,117,0.6713835807286987
117,118,0.6750809930374753
118,119,0.6787457144864257
119,120,0.6823778568422657
120,121,0.6859775357138816
121,122,0.6895448704307313
122,123,0.6930799839233833
123,124,0.6965830026061801
124,125,0.7000540562620066
125,126,0.7034932779291426
126,127,0.7069008037901803
127,128,0.7102767730629878
128,129,0.7136213278936947
129,130,0.7169346132516848
130,131,0.7202167768265654
131,132,0.7234679689271025
132,133,0.726688342382092
133,134,0.7298780524431484
134,135,0.7330372566893896
135,136,0.7361661149339926
136,137,0.7392647891326021
137,138,0.7423334432935635
138,139,0.7453722433899663
139,140,0.7483813572734658
140,141,0.7513609545898676
141,142,0.75431120669645
142,143,0.7572322865810002
143,144,0.7601243687825434
144,145,0.7629876293137428
145,146,0.7658222455849446
146,147,0.7686283963298509
147,148,0.7714062615327915
148,149,0.774156022357578
149,150,0.7768778610779141
150,151,0.7795719610093426
151,152,0.7822385064427033
152,153,0.7848776825790849
153,154,0.7874896754662436
154,155,0.7900746719364706
155,156,0.7926328595458849
156,157,0.795164426515131
157,158,0.7976695616714577
158,159,0.8001484543921606
159,160,0.8026012945493644
160,161,0.8050282724561226
161,162,0.807429578813821
162,163,0.809805404660854
163,164,0.8121559413225621
164,165,0.8144813803624051
165,166,0.8167819135343533
166,167,0.8190577327364774
167,168,0.8213090299657134
168,169,0.8235359972737881
169,170,0.8257388267242827
170,171,0.8279177103508141
171,172,0.8300728401163215
172,173,0.8322044078734299
173,174,0.8343126053258788
174,175,0.8363976239909974
175,176,0.8384596551632038
176,177,0.8404988898785137
177,178,0.8425155188800413
178,179,0.8445097325844718
179,180,0.8464817210494897
180,181,0.8484316739421467
181,182,0.8503597805081511
182,183,0.85226622954206
183,184,0.8541512093583634
184,185,0.8560149077634354
185,186,0.857857512028345
186,187,0.8596792088625045
187,188,0.8614801843881408
188,189,0.8632606241155771
189,190,0.8650207129193054
190,191,0.8667606350148369
191,192,0.8684805739363153
192,193,0.8701807125148782
193,194,0.8718612328577486
194,195,0.8735223163280502
195,196,0.8751641435253216
196,197,0.8767868942667244
197,198,0.8783907475689267
198,199,0.8799758816306493
199,200,0.8815424738158613
200,201,0.8830907006376123
201,202,0.8846207377424868
202,203,0.8861327598956702
203,204,0.8876269409666104
204,205,0.8891034539152655
205,206,0.8905624707789245
206,207,0.8920041626595872
207,208,0.8934286997118936
208,209,0.894836251131589
209,210,0.8962269851445157
210,211,0.8976010689961165
211,212,0.8989586689414426
212,213,0.9002999502356503
213,214,0.9016250771249812
214,215,0.9029342128382085
