Number of programmes,Total designs,Total time
1,17,0.00015400000000020952
2,33,0.044773000000000174
3,51,0.022334999999999994
4,68,0.19465200000000005
5,87,0.7512840000000001
6,128,6.4947550000000005
7,169,16.549718999999996
8,188,35.573805
9,208,92.27526900000001
10,227,160.046549
11,242,528.589884
12,256,1543.9346540000001
