Programme,p2_mu,p2_sigma,p3_mu,p3_sigma,N_3_max,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
C,20,35,20,49.49747468305833,366,868072.9428091922,366,0.6018382821038583,136.0,239400.0,272600,534000.0
C,20,35,20,49.49747468305833,362,869750.3117907706,362,0.6015280935270425,136.0,239400.0,270200,531600.0
C,20,35,20,49.49747468305833,358,871415.4583556848,358,0.6012126584911991,136.0,239400.0,267800,529200.0
C,20,35,20,49.49747468305833,354,873068.0354028537,354,0.6008918280035672,136.0,239400.0,265400,526800.0
C,20,35,20,49.49747468305833,350,874707.6819417335,350,0.6005654471093497,136.0,239400.0,263000,524400.0
C,20,35,20,49.49747468305833,346,876334.0223708209,346,0.6002333545820105,136.0,239400.0,260600,522000.0
C,20,35,20,49.49747468305833,342,877946.665709639,342,0.5998953825936065,136.0,239400.0,258200,519600.0
C,20,35,20,49.49747468305833,338,879545.2047806426,338,0.5995513563636202,136.0,239400.0,255800,517200.0
C,20,35,20,49.49747468305833,334,881129.2153371556,334,0.5992010937846283,136.0,239400.0,253400,514800.0
C,20,35,20,49.49747468305833,330,882698.255133115,330,0.5988444050229905,136.0,239400.0,251000,512400.0
C,20,35,20,49.49747468305833,326,884251.8629300001,326,0.5984810920925746,136.0,239400.0,248600,510000.0
C,20,35,20,49.49747468305833,322,885789.5574359002,322,0.5981109483993529,136.0,239400.0,246200,507600.0
C,20,35,20,49.49747468305833,318,887310.8361712173,318,0.5977337582545054,136.0,239400.0,243800,505200.0
C,20,35,20,49.49747468305833,314,888815.1742549448,314,0.5973492963534325,136.0,239400.0,241400,502800.0
C,20,35,20,49.49747468305833,310,890302.0231049242,310,0.5969573272178407,136.0,239400.0,239000,500400.0
C,20,35,20,49.49747468305833,306,891770.8090448065,306,0.5965576045977826,136.0,239400.0,236600,498000.0
C,20,35,20,49.49747468305833,302,893220.931809738,302,0.5961498708302243,136.0,239400.0,234200,495600.0
C,20,35,20,49.49747468305833,298,894651.7629419973,298,0.5957338561503739,136.0,239400.0,231800,493200.0
C,20,35,20,49.49747468305833,294,896062.6440669135,294,0.5953092779516219,136.0,239400.0,229400,490800.0
F,22,48,22,67.88225099390856,430,1009196.7296811799,430,0.5751981418599078,158.0,255350.0,351280,630630.0
F,22,48,22,67.88225099390856,426,1011278.3465893315,426,0.5749517686047386,158.0,255350.0,348496,627846.0
F,22,48,22,67.88225099390856,422,1013349.9224376006,422,0.5747018732707533,158.0,255350.0,345712,625062.0
F,22,48,22,67.88225099390856,418,1015411.2171850209,418,0.5744483716593501,158.0,255350.0,342928,622278.0
F,22,48,22,67.88225099390856,414,1017461.9826302684,414,0.5741911767095379,158.0,255350.0,340144,619494.0
F,22,48,22,67.88225099390856,410,1019501.9620550538,410,0.5739301983728498,158.0,255350.0,337360,616710.0
F,22,48,22,67.88225099390856,406,1021530.8898484369,406,0.5736653434815646,158.0,255350.0,334576,613926.0
F,22,48,22,67.88225099390856,402,1023548.4911108236,402,0.5733965156098024,158.0,255350.0,331792,611142.0
F,22,48,22,67.88225099390856,398,1025554.481236317,398,0.5731236149270261,158.0,255350.0,329008,608358.0
F,22,48,22,67.88225099390856,394,1027548.5654719882,394,0.5728465380434482,158.0,255350.0,326224,605574.0
F,22,48,22,67.88225099390856,390,1029530.4384525253,390,0.5725651778468008,158.0,255350.0,323440,602790.0
F,22,48,22,67.88225099390856,386,1031499.783708595,386,0.5722794233298848,158.0,255350.0,320656,600006.0
F,22,48,22,67.88225099390856,382,1033456.2731471225,382,0.5719891594082686,158.0,255350.0,317872,597222.0
F,22,48,22,67.88225099390856,378,1035399.5665015508,378,0.571694266727457,158.0,255350.0,315088,594438.0
F,22,48,22,67.88225099390856,374,1037329.3107499846,374,0.5713946214587953,158.0,255350.0,312304,591654.0
F,22,48,22,67.88225099390856,370,1039245.1394989563,370,0.5710900950833137,158.0,255350.0,309520,588870.0
F,22,48,22,67.88225099390856,366,1041146.672330363,366,0.5707805541626544,158.0,255350.0,306736,586086.0
F,22,48,22,67.88225099390856,362,1043033.5141089244,362,0.5704658600961501,158.0,255350.0,303952,583302.0
F,22,48,22,67.88225099390856,358,1044905.2542472889,358,0.570145868863047,158.0,255350.0,301168,580518.0
F,22,48,22,67.88225099390856,354,1046761.4659256651,354,0.5698204307487768,158.0,255350.0,298384,577734.0
F,22,48,22,67.88225099390856,350,1048601.7052626112,350,0.5694893900540964,158.0,255350.0,295600,574950.0
F,22,48,22,67.88225099390856,346,1050425.5104332927,346,0.5691525847858014,158.0,255350.0,292816,572166.0
K,26,42,26,59.39696961966999,297,1363748.4773949808,297,0.6085738236011216,110.0,215750.0,254208,494958.0
K,26,42,26,59.39696961966999,293,1365110.514140752,293,0.6081501568335053,110.0,215750.0,251552,492302.0
K,26,42,26,59.39696961966999,289,1366445.3946888577,289,0.6077175986399168,110.0,215750.0,248896,489646.0
K,26,42,26,59.39696961966999,285,1367752.1615187454,285,0.6072758355109609,110.0,215750.0,246240,486990.0
K,26,42,26,59.39696961966999,281,1369029.8093377242,281,0.6068245382957875,110.0,215750.0,243584,484334.0
K,26,42,26,59.39696961966999,277,1370277.2819813327,277,0.6063633611872172,110.0,215750.0,240928,481678.0
K,26,42,26,59.39696961966999,273,1371493.4690644105,273,0.6058919406252414,110.0,215750.0,238272,479022.0
K,26,42,26,59.39696961966999,269,1372677.2023588957,269,0.6054098941110486,110.0,215750.0,235616,476366.0
K,26,42,26,59.39696961966999,265,1373827.2518716606,265,0.6049168189228376,110.0,215750.0,232960,473710.0
K,26,42,26,59.39696961966999,261,1374942.321592646,261,0.60441229072368,110.0,215750.0,230304,471054.0
K,26,42,26,59.39696961966999,257,1376021.0448801208,257,0.6038958620505719,110.0,215750.0,227648,468398.0
K,26,42,26,59.39696961966999,253,1377061.979445979,253,0.6033670606725301,110.0,215750.0,224992,465742.0
K,26,42,26,59.39696961966999,249,1378063.6018995459,249,0.6028253878041363,110.0,215750.0,222336,463086.0
K,26,42,26,59.39696961966999,245,1379024.3018033172,245,0.6022703161592797,110.0,215750.0,219680,460430.0
K,26,42,26,59.39696961966999,241,1379942.3751883102,241,0.6017012878279666,110.0,215750.0,217024,457774.0
N,31,53,31,74.95331880577403,328,1692629.7157019232,328,0.6023326179490863,122.0,255780.0,294536,579316.0
N,31,53,31,74.95331880577403,324,1694097.3648616266,324,0.6019666627550084,122.0,255780.0,291688,576468.0
N,31,53,31,74.95331880577403,320,1695538.8844484515,320,0.6015937801533218,122.0,255780.0,288840,573620.0
N,31,53,31,74.95331880577403,316,1696953.4437977024,316,0.6012137499202607,122.0,255780.0,285992,570772.0
N,31,53,31,74.95331880577403,312,1698340.174950073,312,0.6008263419446048,122.0,255780.0,283144,567924.0
N,31,53,31,74.95331880577403,308,1699698.1704747193,308,0.6004313156505375,122.0,255780.0,280296,565076.0
N,31,53,31,74.95331880577403,304,1701026.4811349208,304,0.600028419378772,122.0,255780.0,277448,562228.0
N,31,53,31,74.95331880577403,300,1702324.11338276,300,0.5996173897223462,122.0,255780.0,274600,559380.0
N,31,53,31,74.95331880577403,296,1703590.0266678743,296,0.599197950813127,122.0,255780.0,271752,556532.0
N,31,53,31,74.95331880577403,292,1704823.1305438401,292,0.5987698135546604,122.0,255780.0,268904,553684.0
N,31,53,31,74.95331880577403,288,1706022.2815540056,288,0.5983326747965528,122.0,255780.0,266056,550836.0
N,31,53,31,74.95331880577403,284,1707186.2798767206,284,0.5978862164450617,122.0,255780.0,263208,547988.0
N,31,53,31,74.95331880577403,280,1708313.86570775,280,0.59743010450401,122.0,255780.0,260360,545140.0
N,31,53,31,74.95331880577403,276,1709403.7153552677,276,0.5969639880395013,122.0,255780.0,257512,542292.0
N,31,53,31,74.95331880577403,272,1710454.4370201388,272,0.5964874980611979,122.0,255780.0,254664,539444.0
N,31,53,31,74.95331880577403,268,1711464.5662311385,268,0.5960002463121178,122.0,255780.0,251816,536596.0
N,31,53,31,74.95331880577403,264,1712432.5609013508,264,0.5955018239579994,122.0,255780.0,248968,533748.0
P,34,60,34,84.8528137423857,358,1844900.1392410062,358,0.5999159818349203,132.0,292520.0,340944,665464.0
P,34,60,34,84.8528137423857,354,1846628.6433872022,354,0.599594918997212,132.0,292520.0,337872,662392.0
P,34,60,34,84.8528137423857,350,1848333.9092540736,350,0.5992683027758573,132.0,292520.0,334800,659320.0
P,34,60,34,84.8528137423857,346,1850015.2619352713,346,0.5989359718846514,132.0,292520.0,331728,656248.0
P,34,60,34,84.8528137423857,342,1851671.9989008312,342,0.598597758436017,132.0,292520.0,328656,653176.0
P,34,60,34,84.8528137423857,338,1853303.388527079,338,0.5982534875896878,132.0,292520.0,325584,650104.0
P,34,60,34,84.8528137423857,334,1854908.6685296022,334,0.5979029771782264,132.0,292520.0,322512,647032.0
P,34,60,34,84.8528137423857,330,1856487.044291677,330,0.5975460373075595,132.0,292520.0,319440,643960.0
P,34,60,34,84.8528137423857,326,1858037.687079878,326,0.5971824699305519,132.0,292520.0,316368,640888.0
P,34,60,34,84.8528137423857,322,1859559.732137811,322,0.5968120683914543,132.0,292520.0,313296,637816.0
P,34,60,34,84.8528137423857,318,1861052.2766480623,318,0.59643461693886,132.0,292520.0,310224,634744.0
P,34,60,34,84.8528137423857,314,1862514.377551544,314,0.5960498902045804,132.0,292520.0,307152,631672.0
P,34,60,34,84.8528137423857,310,1863945.0492123393,310,0.5956576526456002,132.0,292520.0,304080,628600.0
P,34,60,34,84.8528137423857,306,1865343.260915012,306,0.5952576579459952,132.0,292520.0,301008,625528.0
P,34,60,34,84.8528137423857,302,1866707.9341800637,302,0.5948496483753919,132.0,292520.0,297936,622456.0
P,34,60,34,84.8528137423857,298,1868037.9398817713,298,0.5944333541002008,132.0,292520.0,294864,619384.0
P,34,60,34,84.8528137423857,294,1869332.0951510537,294,0.5940084924434769,132.0,292520.0,291792,616312.0
P,34,60,34,84.8528137423857,290,1870589.1600442198,290,0.5935747670888308,132.0,292520.0,288720,613240.0
Y,23,42,23,59.39696961966999,464,267487.19300548255,464,0.60165368719977,172.0,146560.0,226380,389440.0
Y,23,42,23,59.39696961966999,460,268930.3859673542,460,0.6014368049803067,172.0,146560.0,224700,387760.0
Y,23,42,23,59.39696961966999,456,270370.4406678381,456,0.6012170485511055,172.0,146560.0,223020,386080.0
Y,23,42,23,59.39696961966999,452,271807.28702128876,452,0.6009943537234896,172.0,146560.0,221340,384400.0
Y,23,42,23,59.39696961966999,448,273240.8527508365,448,0.6007686543019273,172.0,146560.0,219660,382720.0
Y,23,42,23,59.39696961966999,444,274671.0633004345,444,0.6005398820034775,172.0,146560.0,217980,381040.0
Y,23,42,23,59.39696961966999,440,276097.8417424718,440,0.6003079663731781,172.0,146560.0,216300,379360.0
Y,23,42,23,59.39696961966999,436,277521.1086806833,436,0.6000728346951234,172.0,146560.0,214620,377680.0
Y,23,42,23,59.39696961966999,432,278940.7821480731,432,0.5998344118989771,172.0,146560.0,212940,376000.0
Y,23,42,23,59.39696961966999,428,280356.77749953954,428,0.5995926204616318,172.0,146560.0,211260,374320.0
Y,23,42,23,59.39696961966999,424,281769.007298879,424,0.5993473803037193,172.0,146560.0,209580,372640.0
Y,23,42,23,59.39696961966999,420,283177.3811998147,420,0.5990986086806509,172.0,146560.0,207900,370960.0
Y,23,42,23,59.39696961966999,416,284581.80582067405,416,0.5988462200678384,172.0,146560.0,206220,369280.0
Y,23,42,23,59.39696961966999,412,285982.1846123121,412,0.5985901260397308,172.0,146560.0,204540,367600.0
Y,23,42,23,59.39696961966999,408,287378.41771885124,408,0.598330235142271,172.0,146560.0,202860,365920.0
Y,23,42,23,59.39696961966999,404,288770.40183076763,404,0.5980664527583437,172.0,146560.0,201180,364240.0
Y,23,42,23,59.39696961966999,400,290158.0300298318,400,0.5977986809657627,172.0,146560.0,199500,362560.0
Y,23,42,23,59.39696961966999,396,291541.19162536657,396,0.5975268183873057,172.0,146560.0,197820,360880.0
Y,23,42,23,59.39696961966999,392,292919.7719812436,392,0.5972507600322674,172.0,146560.0,196140,359200.0
Y,23,42,23,59.39696961966999,388,294293.65233300463,388,0.5969703971289682,172.0,146560.0,194460,357520.0
Y,23,42,23,59.39696961966999,384,295662.7095944362,384,0.5966856169476031,172.0,146560.0,192780,355840.0
Y,23,42,23,59.39696961966999,380,297026.81615288206,380,0.5963963026127774,172.0,146560.0,191100,354160.0
Y,23,42,23,59.39696961966999,376,298385.839652515,376,0.596102332905013,172.0,146560.0,189420,352480.0
Y,23,42,23,59.39696961966999,372,299739.642764734,372,0.5958035820504646,172.0,146560.0,187740,350800.0
AC,23,41,23,57.982756057296896,441,285314.6560409438,441,0.6040014618142282,164.0,142220.0,214956,374176.0
AC,23,41,23,57.982756057296896,437,286723.3332652438,437,0.6037676217615381,164.0,142220.0,213292,372512.0
