Programme,p2_mu,p2_sigma,p3_mu,p3_sigma,N_3_max,eNPV,p_3eSS,assurance,N2,upto_p2_cost,p3_cost,total_cost
AH,26,45,22.099999999999998,70.00357133746822,111,311698.5532969716,111,0.5301358465462367,140.0,139400.0,82840,240240.0
AH,26,45,22.099999999999998,70.00357133746822,113,311696.6902053321,113,0.5309792952426837,140.0,139400.0,83720,241120.0
AH,26,45,22.099999999999998,70.00357133746822,109,311676.4109124136,109,0.5292693406392185,140.0,139400.0,81960,239360.0
AH,26,45,22.099999999999998,70.00357133746822,115,311671.8614508322,115,0.5318006854671337,140.0,139400.0,84600,242000.0
AH,26,45,22.099999999999998,70.00357133746822,107,311629.15636947507,107,0.5283787145556659,140.0,139400.0,81080,238480.0
AH,26,45,22.099999999999998,70.00357133746822,117,311625.04507317336,117,0.5326009566247106,140.0,139400.0,85480,242880.0
AH,26,45,22.099999999999998,70.00357133746822,119,311557.161967771,119,0.5333809932335691,140.0,139400.0,86360,243760.0
AH,26,45,22.099999999999998,70.00357133746822,105,311555.6104997066,105,0.5274628357067057,140.0,139400.0,80200,237600.0
AH,26,45,22.099999999999998,70.00357133746822,121,311469.0800986972,121,0.5341416289714173,140.0,139400.0,87240,244640.0
AH,26,45,22.099999999999998,70.00357133746822,103,311454.5154444119,103,0.5265204959216443,140.0,139400.0,79320,236720.0
AH,26,45,22.099999999999998,70.00357133746822,123,311361.61833871575,123,0.5348836503638623,140.0,139400.0,88120,245520.0
AH,26,45,22.099999999999998,70.00357133746822,101,311324.5277904386,101,0.5255504048549087,140.0,139400.0,78440,235840.0
AH,26,45,22.099999999999998,70.00357133746822,125,311235.5499747568,125,0.5356078001514123,140.0,139400.0,89000,246400.0
AH,26,45,22.099999999999998,70.00357133746822,99,311164.2109612059,99,0.5245511826776442,140.0,139400.0,77560,234960.0
AH,26,45,22.099999999999998,70.00357133746822,127,311091.6059126975,127,0.5363147803676604,140.0,139400.0,89880,247280.0
AH,26,45,22.099999999999998,70.00357133746822,97,310972.02676570765,97,0.5235213519605497,140.0,139400.0,76680,234080.0
AH,26,45,22.099999999999998,70.00357133746822,129,310930.4776114316,129,0.5370052551574537,140.0,139400.0,90760,248160.0
AH,26,45,22.099999999999998,70.00357133746822,131,310752.81977280707,131,0.5376798533605721,140.0,139400.0,91640,249040.0
AH,26,45,22.099999999999998,70.00357133746822,95,310746.32599329844,95,0.5224593286401882,140.0,139400.0,75800,233200.0
AH,26,45,22.099999999999998,70.00357133746822,133,310559.2528110598,133,0.5383391708836146,140.0,139400.0,92520,249920.0
AH,26,45,22.099999999999998,70.00357133746822,93,310485.3379244772,93,0.5213634119441166,140.0,139400.0,74920,232320.0
AH,26,45,22.099999999999998,70.00357133746822,135,310350.3651227589,135,0.538983772880277,140.0,139400.0,93400,250800.0
AH,26,45,22.099999999999998,70.00357133746822,137,310126.71517601854,137,0.5396141957580357,140.0,139400.0,94280,251680.0
AH,26,45,22.099999999999998,70.00357133746822,139,309888.8334357161,139,0.5402309490273157,140.0,139400.0,95160,252560.0
AH,26,45,22.099999999999998,70.00357133746822,141,309637.22413970134,141,0.5408345170075357,140.0,139400.0,96040,253440.0
AH,26,45,22.099999999999998,70.00357133746822,143,309372.36693941976,143,0.5414253604029238,140.0,139400.0,96920,254320.0
AH,26,45,22.099999999999998,70.00357133746822,145,309094.7184170034,145,0.5420039177596796,140.0,139400.0,97800,255200.0
AH,26,45,22.099999999999998,70.00357133746822,147,308804.71348965866,147,0.5425706068148867,140.0,139400.0,98680,256080.0
AH,26,45,22.099999999999998,70.00357133746822,149,308502.766711105,149,0.5431258257465408,140.0,139400.0,99560,256960.0
AH,26,45,22.099999999999998,70.00357133746822,151,308189.27347885584,151,0.5436699543331411,140.0,139400.0,100440,257840.0
AH,26,45,22.099999999999998,70.00357133746822,153,307864.61115527817,153,0.5442033550304662,140.0,139400.0,101320,258720.0
AB,25,44,21.25,68.44793641885781,112,307674.3638391511,112,0.5284896514589823,148.0,139260.0,81384,238644.0
AB,25,44,21.25,68.44793641885781,114,307670.8049559329,114,0.529322012690103,148.0,139260.0,82248,239508.0
AB,25,44,21.25,68.44793641885781,110,307654.62236675795,110,0.5276347502628321,148.0,139260.0,80520,237780.0
AB,25,44,21.25,68.44793641885781,116,307644.94602077315,116,0.5301328016156631,148.0,139260.0,83112,240372.0
AB,25,44,21.25,68.44793641885781,108,307610.5165099262,108,0.5267562797966514,148.0,139260.0,79656,236916.0
AB,25,44,21.25,68.44793641885781,118,307597.72842600546,118,0.530922928906325,148.0,139260.0,83976,241236.0
AB,25,44,21.25,68.44793641885781,106,307540.91321214323,106,0.5258531439804233,148.0,139260.0,78792,236052.0
AB,25,44,21.25,68.44793641885781,120,307530.0390300306,120,0.5316932524784944,148.0,139260.0,84840,242100.0
AH,26,45,22.099999999999998,70.00357133746822,155,307529.14010960923,155,0.5447263739724278,140.0,139400.0,102200,259600.0
AB,25,44,21.25,68.44793641885781,104,307444.60453833337,104,0.5249241742991767,148.0,139260.0,77928,235188.0
AB,25,44,21.25,68.44793641885781,122,307442.7141442528,122,0.532444581351146,148.0,139260.0,85704,242964.0
AB,25,44,21.25,68.44793641885781,124,307336.5431699968,124,0.5331776791640521,148.0,139260.0,86568,243828.0
AB,25,44,21.25,68.44793641885781,102,307320.30120743637,102,0.5239681235466245,148.0,139260.0,77064,234324.0
AB,25,44,21.25,68.44793641885781,126,307212.2719211172,126,0.5338932673919612,148.0,139260.0,87432,244692.0
AH,26,45,22.099999999999998,70.00357133746822,157,307183.20468742354,157,0.5452393419022431,140.0,139400.0,103080,260480.0
AB,25,44,21.25,68.44793641885781,100,307166.62543028255,100,0.5229836588967695,148.0,139260.0,76200,233460.0
AB,25,44,21.25,68.44793641885781,128,307070.6056638621,128,0.5345920282852572,148.0,139260.0,88296,245556.0
AB,25,44,21.25,68.44793641885781,98,306982.1029629671,98,0.5219693542166113,148.0,139260.0,75336,232596.0
AB,25,44,21.25,68.44793641885781,130,306912.21190196194,130,0.53527460756416,148.0,139260.0,89160,246420.0
AH,26,45,22.099999999999998,70.00357133746822,159,306827.13411344215,159,0.54574257503958,140.0,139400.0,103960,261360.0
AB,25,44,21.25,68.44793641885781,132,306737.7229317741,132,0.5359416168904836,148.0,139260.0,90024,247284.0
AB,25,44,21.25,68.44793641885781,134,306547.73818955536,134,0.5365936361383077,148.0,139260.0,90888,248148.0
AH,26,45,22.099999999999998,70.00357133746822,161,306461.2433330249,161,0.5462363758888099,140.0,139400.0,104840,262240.0
AB,25,44,21.25,68.44793641885781,136,306342.8264105447,136,0.5372312154825999,148.0,139260.0,91752,249012.0
AB,25,44,21.25,68.44793641885781,138,306123.5276174004,138,0.5378548773227622,148.0,139260.0,92616,249876.0
AH,26,45,22.099999999999998,70.00357133746822,163,306085.83379720396,163,0.5467210339930296,140.0,139400.0,105720,263120.0
AB,25,44,21.25,68.44793641885781,140,305890.35495369544,140,0.5384651180562907,148.0,139260.0,93480,250740.0
AH,26,45,22.099999999999998,70.00357133746822,165,305701.1941956772,165,0.5471968266381011,140.0,139400.0,106600,264000.0
AB,25,44,21.25,68.44793641885781,142,305643.7963765203,142,0.5390624097161426,148.0,139260.0,94344,251604.0
AB,25,44,21.25,68.44793641885781,144,305384.3162207996,144,0.5396472014840014,148.0,139260.0,95208,252468.0
AH,26,45,22.099999999999998,70.00357133746822,167,305307.6011417849,167,0.5476640195105694,140.0,139400.0,107480,264880.0
AB,25,44,21.25,68.44793641885781,146,305112.3566466435,146,0.5402199210903956,148.0,139260.0,96072,253332.0
AH,26,45,22.099999999999998,70.00357133746822,169,304905.31981313974,169,0.5481228673129865,140.0,139400.0,108360,265760.0
AB,25,44,21.25,68.44793641885781,148,304828.3389799219,148,0.5407809761115241,148.0,139260.0,96936,254196.0
AB,25,44,21.25,68.44793641885781,150,304532.6649552337,150,0.5413307551716621,148.0,139260.0,97800,255060.0
AH,26,45,22.099999999999998,70.00357133746822,171,304494.6045512594,171,0.548573614339858,140.0,139400.0,109240,266640.0
AB,25,44,21.25,68.44793641885781,152,304225.7178695564,152,0.541869629059162,148.0,139260.0,98664,255924.0
AH,26,45,22.099999999999998,70.00357133746822,173,304075.6994232675,173,0.5490164950171543,140.0,139400.0,110120,267520.0
AB,25,44,21.25,68.44793641885781,154,303907.8636540503,154,0.5423979517632803,148.0,139260.0,99528,256788.0
AH,26,45,22.099999999999998,70.00357133746822,175,303648.83874845796,175,0.5494517344080762,140.0,139400.0,111000,268400.0
AB,25,44,21.25,68.44793641885781,156,303579.45187078963,156,0.5429160614383808,148.0,139260.0,100392,257652.0
AB,25,44,21.25,68.44793641885781,158,303240.81664054526,158,0.5434242813014398,148.0,139260.0,101256,258516.0
AH,26,45,22.099999999999998,70.00357133746822,177,303214.2475922945,177,0.5498795486875389,140.0,139400.0,111880,269280.0
AB,25,44,21.25,68.44793641885781,160,302892.2775071856,160,0.5439229204682383,148.0,139260.0,102120,259380.0
AH,26,45,22.099999999999998,70.00357133746822,179,302772.1422301914,179,0.5503001455876337,140.0,139400.0,112760,270160.0
AB,25,44,21.25,68.44793641885781,162,302534.1402437388,162,0.5444122747331186,148.0,139260.0,102984,260244.0
AH,26,45,22.099999999999998,70.00357133746822,181,302322.73058323923,181,0.5507137248161409,140.0,139400.0,113640,271040.0
AB,25,44,21.25,68.44793641885781,164,302166.69760471454,164,0.5448926272967545,148.0,139260.0,103848,261108.0
AH,26,45,22.099999999999998,70.00357133746822,183,301866.2126278527,183,0.5511204784499961,140.0,139400.0,114520,271920.0
AB,25,44,21.25,68.44793641885781,166,301790.23002885806,166,0.5453642494459715,148.0,139260.0,104712,261972.0
AB,25,44,21.25,68.44793641885781,168,301405.00629615213,168,0.5458274011893084,148.0,139260.0,105576,262836.0
AH,26,45,22.099999999999998,70.00357133746822,185,301402.7807811684,185,0.5515205913054635,140.0,139400.0,115400,272800.0
AB,25,44,21.25,68.44793641885781,170,301011.2841425397,170,0.5462823318516784,148.0,139260.0,106440,263700.0
AH,26,45,22.099999999999998,70.00357133746822,187,300932.62026386487,187,0.5519142412866245,140.0,139400.0,116280,273680.0
AB,25,44,21.25,68.44793641885781,172,300609.3108355425,172,0.5467292806312031,148.0,139260.0,107304,264564.0
AH,26,45,22.099999999999998,70.00357133746822,189,300455.90944195446,189,0.5523015997136674,140.0,139400.0,117160,274560.0
AB,25,44,21.25,68.44793641885781,174,300199.32371368073,174,0.5471684771210281,148.0,139260.0,108168,265428.0
AH,26,45,22.099999999999998,70.00357133746822,191,299972.8201489685,191,0.5526828316323461,140.0,139400.0,118040,275440.0
AB,25,44,21.25,68.44793641885781,176,299781.550692347,176,0.5476001417986892,148.0,139260.0,109032,266292.0
AH,26,45,22.099999999999998,70.00357133746822,193,299483.51798985037,193,0.5530580961058685,140.0,139400.0,118920,276320.0
AB,25,44,21.25,68.44793641885781,178,299356.2107385773,178,0.5480244864853882,148.0,139260.0,109896,267156.0
AH,26,45,22.099999999999998,70.00357133746822,195,298988.1626277722,195,0.5534275464903834,140.0,139400.0,119800,277200.0
AB,25,44,21.25,68.44793641885781,180,298923.51431694336,180,0.5484417147773348,148.0,139260.0,110760,268020.0
AH,26,45,22.099999999999998,70.00357133746822,197,298486.9080549942,197,0.5537913306951404,140.0,139400.0,120680,278080.0
AB,25,44,21.25,68.44793641885781,182,298483.6638086252,182,0.5488520224511428,148.0,139260.0,111624,268884.0
AB,25,44,21.25,68.44793641885781,184,298036.8539055439,184,0.5492555978451006,148.0,139260.0,112488,269748.0
AH,26,45,22.099999999999998,70.00357133746822,199,297979.90284880693,199,0.5541495914283218,140.0,139400.0,121560,278960.0
AC,23,41,19.55,63.78103166302659,114,297745.8182482666,114,0.5277664859192571,164.0,142220.0,78924,238144.0
AC,23,41,19.55,63.78103166302659,116,297737.1270426224,116,0.5285773145157846,164.0,142220.0,79756,238976.0
AC,23,41,19.55,63.78103166302659,112,297732.6126174752,112,0.52693409241139,164.0,142220.0,78092,237312.0
AC,23,41,19.55,63.78103166302659,118,297707.4630915307,118,0.529367488284047,164.0,142220.0,80588,239808.0
AC,23,41,19.55,63.78103166302659,110,297696.52824657096,110,0.5260791669727781,164.0,142220.0,77260,236480.0
AC,23,41,19.55,63.78103166302659,120,297657.6969680765,120,0.5301378646004716,164.0,142220.0,81420,240640.0
AC,23,41,19.55,63.78103166302659,108,297636.5206963207,108,0.5252006809964109,164.0,142220.0,76428,235648.0
AC,23,41,19.55,63.78103166302659,122,297588.6496392047,122,0.5308892519873047,164.0,142220.0,82252,241472.0
AB,25,44,21.25,68.44793641885781,186,297583.2719812895,186,0.5496526222179937,148.0,139260.0,113352,270612.0
AC,23,41,19.55,63.78103166302659,124,297501.09603414044,124,0.5316224136269395,164.0,142220.0,83084,242304.0
AH,26,45,22.099999999999998,70.00357133746822,201,297467.2904135146,201,0.5545024664294672,140.0,139400.0,122440,279840.0
AC,23,41,19.55,63.78103166302659,126,297395.76830447814,126,0.5323380705725869,164.0,142220.0,83916,243136.0
AC,23,41,19.55,63.78103166302659,128,297273.3588069051,128,0.5330369046857852,164.0,142220.0,84748,243968.0
AC,23,41,19.55,63.78103166302659,130,297134.5228359875,130,0.5337195613277612,164.0,142220.0,85580,244800.0
AB,25,44,21.25,68.44793641885781,188,297123.0984404406,188,0.5500432700870255,148.0,139260.0,114216,271476.0
AC,23,41,19.55,63.78103166302659,132,296979.88113137544,132,0.5343866518286289,164.0,142220.0,86412,245632.0
AH,26,45,22.099999999999998,70.00357133746822,203,296949.20920935273,203,0.5548500886893484,140.0,139400.0,123320,280720.0
AC,23,41,19.55,63.78103166302659,134,296810.022181078,134,0.5350387557557509,164.0,142220.0,87244,246464.0
AB,25,44,21.25,68.44793641885781,190,296656.507047746,190,0.5504277095462552,148.0,139260.0,115080,272340.0
AC,23,41,19.55,63.78103166302659,136,296625.50434010907,136,0.5356764230002683,164.0,142220.0,88076,247296.0
AC,23,41,19.55,63.78103166302659,138,296426.8577817187,138,0.5363001756987537,164.0,142220.0,88908,248128.0
AH,26,45,22.099999999999998,70.00357133746822,205,296425.7929691607,205,0.5551925866580828,140.0,139400.0,124200,281600.0
AC,23,41,19.55,63.78103166302659,140,296214.58629661135,140,0.5369105100051563,164.0,142220.0,89740,248960.0
AB,25,44,21.25,68.44793641885781,192,296183.66523852525,192,0.5508061025668697,148.0,139260.0,115944,273204.0
AC,23,41,19.55,63.78103166302659,142,295989.1689539291,142,0.5375078977266075,164.0,142220.0,90572,249792.0
AH,26,45,22.099999999999998,70.00357133746822,207,295897.1709035806,207,0.5555300844422267,140.0,139400.0,125080,282480.0
AC,23,41,19.55,63.78103166302659,144,295751.06163637317,144,0.5380927878352705,164.0,142220.0,91404,250624.0
AB,25,44,21.25,68.44793641885781,194,295704.734411541,194,0.5511786052804973,148.0,139260.0,116808,274068.0
AC,23,41,19.55,63.78103166302659,146,295500.6984605612,146,0.5386656078671689,164.0,142220.0,92236,251456.0
AH,26,45,22.099999999999998,70.00357133746822,209,295363.4678954866,209,0.5558627019915244,140.0,139400.0,125960,283360.0
AC,23,41,19.55,63.78103166302659,148,295238.49309262086,148,0.5392267652178361,164.0,142220.0,93068,252288.0
AB,25,44,21.25,68.44793641885781,196,295219.8702054989,196,0.551545368246685,148.0,139260.0,117672,274932.0
AC,23,41,19.55,63.78103166302659,150,294964.8399680143,150,0.5397766483436504,164.0,142220.0,93900,253120.0
AH,26,45,22.099999999999998,70.00357133746822,211,294824.8046843137,211,0.5561905552759548,140.0,139400.0,126840,284240.0
AB,25,44,21.25,68.44793641885781,198,294729.2227602466,198,0.5519065367055729,148.0,139260.0,118536,275796.0
AC,23,41,19.55,63.78103166302659,152,294680.11542372254,152,0.5403156278768558,164.0,142220.0,94732,253952.0
AC,23,41,19.55,63.78103166302659,154,294384.6787501216,154,0.5408440576614941,164.0,142220.0,95564,254784.0
AH,26,45,22.099999999999998,70.00357133746822,213,294281.2980408907,213,0.5565137564536594,140.0,139400.0,127720,285120.0
AB,25,44,21.25,68.44793641885781,200,294232.93696366076,200,0.5522622508167245,148.0,139260.0,119400,276660.0
AC,23,41,19.55,63.78103166302659,156,294078.8731691949,156,0.5413622757167884,164.0,142220.0,96396,255616.0
AC,23,41,19.55,63.78103166302659,158,293763.02674509166,158,0.5418706051338991,164.0,142220.0,97228,256448.0
AH,26,45,22.099999999999998,70.00357133746822,215,293733.06093335664,215,0.5568324140303035,140.0,139400.0,128600,286000.0
AB,25,44,21.25,68.44793641885781,202,293731.1526851393,202,0.5526126458849993,148.0,139260.0,120264,277524.0
AC,23,41,19.55,63.78103166302659,160,293437.4532324887,160,0.5423693549114255,164.0,142220.0,98060,257280.0
AB,25,44,21.25,68.44793641885781,204,293224.0049965492,204,0.5529578525742895,148.0,139260.0,121128,278388.0
AH,26,45,22.099999999999998,70.00357133746822,217,293180.20268469106,217,0.5571466330103844,140.0,139400.0,129480,286880.0
AC,23,41,19.55,63.78103166302659,162,293102.45286771003,162,0.5428588207345332,164.0,142220.0,98892,258112.0
AC,23,41,19.55,63.78103166302659,164,292758.3131071065,164,0.543339285702141,164.0,142220.0,99724,258944.0
AB,25,44,21.25,68.44793641885781,206,292711.6243814174,206,0.5532979971098847,148.0,139260.0,121992,279252.0
AH,26,45,22.099999999999998,70.00357133746822,219,292622.8291223502,219,0.5574565150409564,140.0,139400.0,130360,287760.0
AF,24,43,20.4,66.8923015002474,113,292620.2449953726,113,0.5267407277655012,160.0,140800.0,79912,237712.0
AF,24,43,20.4,66.8923015002474,111,292618.9509358171,111,0.5258971852970981,160.0,140800.0,79064,236864.0
AF,24,43,20.4,66.8923015002474,115,292599.3508939828,115,0.5275622323356728,160.0,140800.0,80760,238560.0
AF,24,43,20.4,66.8923015002474,109,292594.464981386,109,0.5250306079940222,160.0,140800.0,78216,236016.0
AF,24,43,20.4,66.8923015002474,117,292557.21277770237,117,0.5283626367597196,160.0,140800.0,81608,239408.0
AF,24,43,20.4,66.8923015002474,107,292545.71889870975,107,0.5241399348571968,160.0,140800.0,77368,235168.0
AF,24,43,20.4,66.8923015002474,119,292494.71966745844,119,0.529142824037939,160.0,140800.0,82456,240256.0
AF,24,43,20.4,66.8923015002474,105,292471.5745403507,105,0.5232240354469485,160.0,140800.0,76520,234320.0
AF,24,43,20.4,66.8923015002474,121,292412.7095206055,121,0.5299036264528689,160.0,140800.0,83304,241104.0
AC,23,41,19.55,63.78103166302659,166,292405.3093167994,166,0.5438110210062089,164.0,142220.0,100556,259776.0
AF,24,43,20.4,66.8923015002474,123,292311.97293317504,123,0.5306458292464645,160.0,140800.0,84152,241952.0
AB,25,44,21.25,68.44793641885781,208,292194.13693309645,208,0.5536332014701704,148.0,139260.0,122856,280116.0
AF,24,43,20.4,66.8923015002474,125,292193.256519748,125,0.5313701739770819,160.0,140800.0,85000,242800.0
AH,26,45,22.099999999999998,70.00357133746822,221,292061.0427204765,221,0.5577621585482228,140.0,139400.0,131240,288640.0
AF,24,43,20.4,66.8923015002474,127,292057.2660035681,127,0.5320773615886641,160.0,140800.0,85848,243648.0
AC,23,41,19.55,63.78103166302659,168,292043.70541752526,168,0.5442742865668081,164.0,142220.0,101388,260608.0
