,Sensitivity,theta,zeta
0,0.5,10.0,0.013385701848569711
1,0.5,10.100502512562814,0.014070684350661708
2,0.5,10.201005025125628,0.014790458289516827
3,0.5,10.301507537688442,0.015546763415186677
4,0.5,10.402010050251256,0.016341423606379916
5,0.5,10.50251256281407,0.017176350637219215
6,0.5,10.603015075376884,0.018053548080499762
7,0.5,10.703517587939698,0.018975115348791118
8,0.5,10.804020100502512,0.019943251874254005
9,0.5,10.904522613065327,0.020960261427501844
10,0.5,11.00502512562814,0.022028556575215966
11,0.5,11.105527638190955,0.023150663275516254
12,0.5,11.206030150753769,0.02432922560928644
13,0.5,11.306532663316583,0.025567010644747114
14,0.5,11.407035175879397,0.026866913431549976
15,0.5,11.507537688442211,0.028231962119523783
16,0.5,11.608040201005025,0.02966532319592557
17,0.5,11.708542713567839,0.0311703068336288
18,0.5,11.809045226130653,0.03275037234110104
19,0.5,11.909547738693467,0.034409133703276695
20,0.5,12.010050251256281,0.03615036520050082
21,0.5,12.110552763819095,0.03797800709059777
22,0.5,12.21105527638191,0.03989617133678776
23,0.5,12.311557788944723,0.0419091473616246
24,0.5,12.412060301507537,0.04402140780434441
25,0.5,12.512562814070352,0.046237614255985965
26,0.5,12.613065326633166,0.04856262294335626
27,0.5,12.71356783919598,0.05100149032935878
28,0.5,12.814070351758794,0.053559478593366065
29,0.5,12.914572864321608,0.0562420609511947
30,0.5,13.015075376884422,0.05905492676982283
31,0.5,13.115577889447236,0.062003986427273124
32,0.5,13.21608040201005,0.06509537586306824
33,0.5,13.316582914572864,0.06833546075935228
34,0.5,13.417085427135678,0.0717308402871692
35,0.5,13.517587939698492,0.07528835034650981
36,0.5,13.618090452261306,0.07901506622260161
37,0.5,13.71859296482412,0.08291830457454656
38,0.5,13.819095477386934,0.08700562466584573
39,0.5,13.919597989949748,0.09128482873963034
40,0.5,14.020100502512562,0.09576396143460034
41,0.5,14.120603015075378,0.10045130813082201
42,0.5,14.22110552763819,0.10535539210773337
43,0.5,14.321608040201006,0.11048497039004909
44,0.5,14.422110552763819,0.11584902815084507
45,0.5,14.522613065326635,0.1214567715350857
46,0.5,14.623115577889447,0.12731761876134703
47,0.5,14.723618090452263,0.13344118935469312
48,0.5,14.824120603015075,0.1398372913597208
49,0.5,14.92462311557789,0.14651590637995154
50,0.5,15.025125628140703,0.15348717228819578
51,0.5,15.125628140703519,0.160761363452543
52,0.5,15.226130653266331,0.16834886832444712
53,0.5,15.326633165829147,0.17626016423932347
54,0.5,15.42713567839196,0.18450578928638395
55,0.5,15.527638190954775,0.19309631111348025
56,0.5,15.628140703517587,0.20204229254474756
57,0.5,15.728643216080403,0.2113542539042216
58,0.5,15.829145728643216,0.22104263195757343
59,0.5,15.929648241206031,0.2311177354070292
60,0.5,16.030150753768844,0.24158969690159907
61,0.5,16.13065326633166,0.2524684215562324
62,0.5,16.231155778894472,0.2637635320095311
63,0.5,16.331658291457288,0.27548431009038227
64,0.5,16.4321608040201,0.2876396352092436
65,0.5,16.532663316582916,0.3002379196398566
66,0.5,16.633165829145728,0.3132870409115763
67,0.5,16.733668341708544,0.32679427159109253
68,0.5,16.834170854271356,0.34076620679448716
69,0.5,16.934673366834172,0.35520868983583176
70,0.5,17.035175879396984,0.37012673648596234
71,0.5,17.1356783919598,0.3855244583838244
72,0.5,17.236180904522612,0.401404986211595
73,0.5,17.33668341708543,0.41777039331244875
74,0.5,17.43718592964824,0.434621620494721
75,0.5,17.537688442211056,0.4519584028268139
76,0.5,17.63819095477387,0.469779199281571
77,0.5,17.738693467336685,0.4880811261352859
78,0.5,17.839195979899497,0.5068598950629293
79,0.5,17.939698492462313,0.5261097568958039
80,0.5,18.040201005025125,0.5458234520186402
81,0.5,18.14070351758794,0.5659921683785287
82,0.5,18.241206030150757,0.5866055080563396
83,0.5,18.34170854271357,0.607651463311283
84,0.5,18.44221105527638,0.6291164029499086
85,0.5,18.542713567839197,0.6509850697917274
86,0.5,18.643216080402013,0.6732405899046444
87,0.5,18.743718592964825,0.6958644941650258
88,0.5,18.844221105527637,0.7188367525605188
89,0.5,18.944723618090453,0.7421358215003692
90,0.5,19.04522613065327,0.7657387042301769
91,0.5,19.14572864321608,0.7896210242685995
92,0.5,19.246231155778894,0.8137571115957932
93,0.5,19.34673366834171,0.8381201011311863
94,0.5,19.447236180904525,0.8626820428456463
95,0.5,19.547738693467338,0.8874140226646355
96,0.5,19.64824120603015,0.9122862931390293
97,0.5,19.748743718592966,0.9372684126933836
98,0.5,19.84924623115578,0.962329392111864
99,0.5,19.949748743718594,0.9874378467936963
100,0.5,20.050251256281406,1.0125621532063038
101,0.5,20.150753768844222,1.0376706078881368
102,0.5,20.251256281407038,1.0627315873066172
103,0.5,20.35175879396985,1.0877137068609706
104,0.5,20.452261306532662,1.1125859773353644
105,0.5,20.55276381909548,1.1373179571543546
106,0.5,20.653266331658294,1.1618798988688144
107,0.5,20.753768844221106,1.1862428884042067
108,0.5,20.85427135678392,1.2103789757314005
109,0.5,20.954773869346734,1.2342612957698238
110,0.5,21.05527638190955,1.2578641784996316
111,0.5,21.155778894472363,1.2811632474394812
112,0.5,21.256281407035175,1.3041355058349742
113,0.5,21.35678391959799,1.3267594100953564
114,0.5,21.457286432160807,1.3490149302082732
115,0.5,21.55778894472362,1.3708835970500914
116,0.5,21.65829145728643,1.3923485366887172
117,0.5,21.758793969849247,1.4133944919436612
118,0.5,21.859296482412063,1.434007831621472
119,0.5,21.959798994974875,1.4541765479813598
120,0.5,22.060301507537687,1.4738902431041963
